Point	X	Y	Z
622	0.078 cm	0.33 cm	0.115 cm
623	0.079 cm	0.328 cm	0.114 cm
624	0.079 cm	0.327 cm	0.115 cm
625	0.079 cm	0.33 cm	0.113 cm
626	0.08 cm	0.328 cm	0.113 cm
627	0.08 cm	0.326 cm	0.114 cm
628	0.079 cm	0.331 cm	0.112 cm
629	0.08 cm	0.33 cm	0.111 cm
630	0.079 cm	0.333 cm	0.111 cm
631	0.08 cm	0.331 cm	0.11 cm
632	0.08 cm	0.334 cm	0.111 cm
633	0.081 cm	0.333 cm	0.11 cm
634	0.081 cm	0.336 cm	0.11 cm
635	0.082 cm	0.335 cm	0.109 cm
636	0.082 cm	0.338 cm	0.11 cm
637	0.083 cm	0.337 cm	0.109 cm
638	0.081 cm	0.339 cm	0.111 cm
639	0.062 cm	0.325 cm	0.113 cm
640	0.063 cm	0.324 cm	0.113 cm
641	0.062 cm	0.322 cm	0.114 cm
642	0.061 cm	0.323 cm	0.113 cm
643	0.063 cm	0.326 cm	0.112 cm
644	0.064 cm	0.325 cm	0.113 cm
645	0.064 cm	0.328 cm	0.112 cm
646	0.064 cm	0.326 cm	0.113 cm
647	0.065 cm	0.328 cm	0.113 cm
648	0.066 cm	0.327 cm	0.114 cm
649	0.065 cm	0.325 cm	0.114 cm
650	0.067 cm	0.325 cm	0.114 cm
651	0.066 cm	0.324 cm	0.114 cm
652	0.068 cm	0.324 cm	0.115 cm
653	0.067 cm	0.322 cm	0.114 cm
654	0.068 cm	0.325 cm	0.115 cm
655	0.069 cm	0.324 cm	0.115 cm
656	0.069 cm	0.323 cm	0.115 cm
657	0.07 cm	0.326 cm	0.116 cm
658	0.071 cm	0.324 cm	0.116 cm
659	0.07 cm	0.323 cm	0.115 cm
660	0.071 cm	0.327 cm	0.116 cm
661	0.071 cm	0.322 cm	0.115 cm
662	0.07 cm	0.32 cm	0.115 cm
663	0.069 cm	0.321 cm	0.115 cm
664	0.072 cm	0.321 cm	0.115 cm
665	0.072 cm	0.319 cm	0.114 cm
666	0.073 cm	0.321 cm	0.115 cm
667	0.073 cm	0.319 cm	0.114 cm
668	0.075 cm	0.32 cm	0.115 cm
669	0.074 cm	0.318 cm	0.114 cm
670	0.076 cm	0.32 cm	0.114 cm
671	0.075 cm	0.318 cm	0.114 cm
672	0.074 cm	0.315 cm	0.115 cm
673	0.073 cm	0.316 cm	0.115 cm
674	0.075 cm	0.314 cm	0.115 cm
675	0.074 cm	0.312 cm	0.116 cm
676	0.073 cm	0.313 cm	0.115 cm
677	0.076 cm	0.313 cm	0.115 cm
678	0.075 cm	0.311 cm	0.116 cm
679	0.077 cm	0.312 cm	0.115 cm
680	0.076 cm	0.31 cm	0.116 cm
681	0.078 cm	0.311 cm	0.114 cm
682	0.077 cm	0.308 cm	0.115 cm
683	0.079 cm	0.314 cm	0.114 cm
684	0.08 cm	0.313 cm	0.113 cm
685	0.079 cm	0.31 cm	0.114 cm
686	0.081 cm	0.317 cm	0.114 cm
687	0.082 cm	0.316 cm	0.113 cm
688	0.082 cm	0.32 cm	0.113 cm
689	0.083 cm	0.318 cm	0.113 cm
690	0.083 cm	0.322 cm	0.112 cm
691	0.084 cm	0.321 cm	0.111 cm
692	0.082 cm	0.324 cm	0.112 cm
693	0.081 cm	0.326 cm	0.112 cm
694	0.082 cm	0.326 cm	0.111 cm
695	0.083 cm	0.324 cm	0.11 cm
696	0.081 cm	0.328 cm	0.111 cm
697	0.081 cm	0.33 cm	0.11 cm
698	0.082 cm	0.328 cm	0.109 cm
699	0.082 cm	0.331 cm	0.109 cm
700	0.083 cm	0.33 cm	0.108 cm
701	0.083 cm	0.333 cm	0.109 cm
702	0.084 cm	0.332 cm	0.108 cm
703	0.084 cm	0.335 cm	0.108 cm
704	0.085 cm	0.334 cm	0.107 cm
705	0.063 cm	0.322 cm	0.114 cm
706	0.064 cm	0.321 cm	0.114 cm
707	0.063 cm	0.32 cm	0.115 cm
708	0.062 cm	0.321 cm	0.115 cm
709	0.064 cm	0.324 cm	0.114 cm
710	0.065 cm	0.322 cm	0.114 cm
711	0.066 cm	0.321 cm	0.114 cm
712	0.065 cm	0.32 cm	0.115 cm
713	0.067 cm	0.32 cm	0.115 cm
714	0.066 cm	0.318 cm	0.115 cm
715	0.068 cm	0.321 cm	0.115 cm
716	0.069 cm	0.32 cm	0.115 cm
717	0.068 cm	0.318 cm	0.115 cm
718	0.07 cm	0.319 cm	0.115 cm
719	0.069 cm	0.317 cm	0.115 cm
720	0.071 cm	0.318 cm	0.115 cm
721	0.07 cm	0.316 cm	0.115 cm
722	0.072 cm	0.317 cm	0.115 cm
723	0.071 cm	0.315 cm	0.115 cm
724	0.072 cm	0.314 cm	0.115 cm
725	0.071 cm	0.312 cm	0.116 cm
726	0.07 cm	0.313 cm	0.116 cm
727	0.072 cm	0.311 cm	0.116 cm
728	0.07 cm	0.309 cm	0.118 cm
729	0.069 cm	0.31 cm	0.117 cm
730	0.073 cm	0.309 cm	0.117 cm
731	0.071 cm	0.308 cm	0.118 cm
732	0.074 cm	0.308 cm	0.117 cm
733	0.072 cm	0.306 cm	0.118 cm
734	0.075 cm	0.307 cm	0.117 cm
735	0.073 cm	0.305 cm	0.118 cm
736	0.076 cm	0.306 cm	0.116 cm
737	0.074 cm	0.304 cm	0.117 cm
738	0.077 cm	0.305 cm	0.116 cm
739	0.076 cm	0.303 cm	0.117 cm
740	0.078 cm	0.308 cm	0.115 cm
741	0.079 cm	0.307 cm	0.114 cm
742	0.078 cm	0.304 cm	0.115 cm
743	0.08 cm	0.309 cm	0.113 cm
744	0.081 cm	0.309 cm	0.112 cm
745	0.08 cm	0.306 cm	0.113 cm
746	0.081 cm	0.312 cm	0.112 cm
747	0.082 cm	0.311 cm	0.111 cm
748	0.082 cm	0.315 cm	0.112 cm
749	0.083 cm	0.314 cm	0.111 cm
750	0.084 cm	0.317 cm	0.112 cm
751	0.084 cm	0.316 cm	0.11 cm
752	0.084 cm	0.319 cm	0.11 cm
753	0.085 cm	0.318 cm	0.109 cm
754	0.085 cm	0.321 cm	0.109 cm
755	0.085 cm	0.32 cm	0.108 cm
756	0.084 cm	0.323 cm	0.11 cm
757	0.084 cm	0.325 cm	0.108 cm
758	0.085 cm	0.324 cm	0.108 cm
759	0.083 cm	0.326 cm	0.109 cm
760	0.084 cm	0.328 cm	0.108 cm
761	0.085 cm	0.327 cm	0.107 cm
762	0.084 cm	0.33 cm	0.107 cm
763	0.085 cm	0.329 cm	0.106 cm
764	0.086 cm	0.332 cm	0.107 cm
765	0.086 cm	0.331 cm	0.106 cm
766	0.065 cm	0.317 cm	0.116 cm
767	0.064 cm	0.319 cm	0.116 cm
768	0.067 cm	0.317 cm	0.115 cm
769	0.066 cm	0.316 cm	0.116 cm
770	0.068 cm	0.316 cm	0.116 cm
771	0.066 cm	0.314 cm	0.117 cm
772	0.069 cm	0.314 cm	0.116 cm
773	0.067 cm	0.313 cm	0.117 cm
774	0.068 cm	0.312 cm	0.117 cm
775	0.079 cm	0.303 cm	0.114 cm
776	0.078 cm	0.301 cm	0.115 cm
777	0.077 cm	0.302 cm	0.116 cm
778	0.08 cm	0.302 cm	0.112 cm
779	0.079 cm	0.3 cm	0.113 cm
780	0.081 cm	0.305 cm	0.111 cm
781	0.081 cm	0.304 cm	0.11 cm
782	0.081 cm	0.302 cm	0.111 cm
783	0.081 cm	0.308 cm	0.111 cm
784	0.082 cm	0.307 cm	0.109 cm
785	0.082 cm	0.31 cm	0.11 cm
786	0.083 cm	0.309 cm	0.109 cm
787	0.083 cm	0.313 cm	0.109 cm
788	0.084 cm	0.312 cm	0.108 cm
789	0.084 cm	0.315 cm	0.109 cm
790	0.085 cm	0.314 cm	0.107 cm
791	0.085 cm	0.317 cm	0.108 cm
792	0.086 cm	0.316 cm	0.107 cm
793	0.086 cm	0.319 cm	0.107 cm
794	0.086 cm	0.318 cm	0.106 cm
795	0.086 cm	0.321 cm	0.106 cm
796	0.087 cm	0.32 cm	0.105 cm
797	0.086 cm	0.322 cm	0.107 cm
798	0.086 cm	0.324 cm	0.106 cm
799	0.087 cm	0.323 cm	0.105 cm
800	0.085 cm	0.326 cm	0.106 cm
801	0.086 cm	0.327 cm	0.106 cm
802	0.087 cm	0.326 cm	0.105 cm
803	0.087 cm	0.329 cm	0.105 cm
804	0.088 cm	0.328 cm	0.104 cm
805	0.082 cm	0.301 cm	0.11 cm
806	0.082 cm	0.299 cm	0.111 cm
807	0.08 cm	0.299 cm	0.112 cm
808	0.083 cm	0.3 cm	0.108 cm
809	0.083 cm	0.298 cm	0.109 cm
810	0.083 cm	0.303 cm	0.109 cm
811	0.084 cm	0.303 cm	0.108 cm
812	0.083 cm	0.306 cm	0.108 cm
813	0.084 cm	0.305 cm	0.107 cm
814	0.084 cm	0.309 cm	0.107 cm
815	0.085 cm	0.308 cm	0.106 cm
816	0.085 cm	0.311 cm	0.107 cm
817	0.086 cm	0.31 cm	0.106 cm
818	0.086 cm	0.313 cm	0.106 cm
819	0.086 cm	0.312 cm	0.105 cm
820	0.086 cm	0.315 cm	0.105 cm
821	0.087 cm	0.314 cm	0.104 cm
822	0.087 cm	0.317 cm	0.105 cm
823	0.088 cm	0.316 cm	0.103 cm
824	0.087 cm	0.319 cm	0.104 cm
825	0.088 cm	0.318 cm	0.103 cm
826	0.088 cm	0.321 cm	0.103 cm
827	0.089 cm	0.32 cm	0.102 cm
828	0.087 cm	0.322 cm	0.104 cm
829	0.088 cm	0.324 cm	0.103 cm
830	0.089 cm	0.322 cm	0.102 cm
831	0.087 cm	0.325 cm	0.104 cm
832	0.089 cm	0.327 cm	0.103 cm
833	0.089 cm	0.326 cm	0.103 cm
834	0.085 cm	0.3 cm	0.107 cm
835	0.086 cm	0.299 cm	0.106 cm
836	0.086 cm	0.297 cm	0.106 cm
837	0.084 cm	0.298 cm	0.108 cm
838	0.085 cm	0.302 cm	0.106 cm
839	0.086 cm	0.302 cm	0.105 cm
840	0.086 cm	0.305 cm	0.106 cm
841	0.087 cm	0.304 cm	0.104 cm
842	0.086 cm	0.307 cm	0.105 cm
843	0.087 cm	0.306 cm	0.104 cm
844	0.087 cm	0.309 cm	0.104 cm
845	0.088 cm	0.308 cm	0.103 cm
846	0.088 cm	0.311 cm	0.104 cm
847	0.089 cm	0.311 cm	0.103 cm
848	0.088 cm	0.313 cm	0.103 cm
849	0.089 cm	0.313 cm	0.102 cm
850	0.089 cm	0.315 cm	0.102 cm
851	0.09 cm	0.314 cm	0.101 cm
852	0.089 cm	0.317 cm	0.102 cm
853	0.091 cm	0.316 cm	0.1 cm
854	0.09 cm	0.319 cm	0.101 cm
855	0.091 cm	0.318 cm	0.1 cm
856	0.091 cm	0.321 cm	0.1 cm
857	0.092 cm	0.32 cm	0.099 cm
858	0.09 cm	0.321 cm	0.101 cm
859	0.091 cm	0.323 cm	0.101 cm
860	0.092 cm	0.323 cm	0.1 cm
861	0.09 cm	0.324 cm	0.102 cm
862	0.088 cm	0.299 cm	0.104 cm
863	0.089 cm	0.299 cm	0.103 cm
864	0.089 cm	0.297 cm	0.104 cm
865	0.088 cm	0.297 cm	0.105 cm
866	0.088 cm	0.301 cm	0.104 cm
867	0.09 cm	0.301 cm	0.103 cm
868	0.088 cm	0.304 cm	0.103 cm
869	0.09 cm	0.303 cm	0.102 cm
870	0.089 cm	0.306 cm	0.103 cm
871	0.09 cm	0.305 cm	0.102 cm
872	0.089 cm	0.308 cm	0.102 cm
873	0.091 cm	0.307 cm	0.101 cm
874	0.09 cm	0.31 cm	0.102 cm
875	0.091 cm	0.309 cm	0.101 cm
876	0.091 cm	0.312 cm	0.101 cm
877	0.092 cm	0.311 cm	0.1 cm
878	0.091 cm	0.314 cm	0.1 cm
879	0.093 cm	0.313 cm	0.099 cm
880	0.092 cm	0.316 cm	0.099 cm
881	0.093 cm	0.315 cm	0.099 cm
882	0.093 cm	0.317 cm	0.099 cm
883	0.094 cm	0.317 cm	0.098 cm
884	0.093 cm	0.319 cm	0.098 cm
885	0.095 cm	0.319 cm	0.098 cm
886	0.094 cm	0.321 cm	0.098 cm
887	0.096 cm	0.32 cm	0.097 cm
888	0.093 cm	0.322 cm	0.099 cm
889	0.091 cm	0.299 cm	0.102 cm
890	0.093 cm	0.299 cm	0.101 cm
891	0.093 cm	0.297 cm	0.101 cm
892	0.091 cm	0.297 cm	0.102 cm
893	0.091 cm	0.301 cm	0.101 cm
894	0.093 cm	0.301 cm	0.101 cm
895	0.091 cm	0.303 cm	0.101 cm
896	0.093 cm	0.303 cm	0.1 cm
897	0.092 cm	0.305 cm	0.101 cm
898	0.093 cm	0.305 cm	0.1 cm
899	0.092 cm	0.307 cm	0.1 cm
900	0.094 cm	0.307 cm	0.1 cm
901	0.093 cm	0.309 cm	0.1 cm
902	0.094 cm	0.308 cm	0.099 cm
903	0.093 cm	0.311 cm	0.099 cm
904	0.095 cm	0.31 cm	0.099 cm
905	0.094 cm	0.313 cm	0.099 cm
906	0.095 cm	0.312 cm	0.098 cm
907	0.095 cm	0.314 cm	0.098 cm
908	0.096 cm	0.314 cm	0.097 cm
909	0.095 cm	0.316 cm	0.097 cm
910	0.097 cm	0.316 cm	0.097 cm
911	0.096 cm	0.318 cm	0.097 cm
912	0.098 cm	0.317 cm	0.096 cm
913	0.097 cm	0.32 cm	0.096 cm
914	0.098 cm	0.319 cm	0.096 cm
915	0.094 cm	0.298 cm	0.1 cm
916	0.096 cm	0.298 cm	0.099 cm
917	0.096 cm	0.297 cm	0.099 cm
918	0.094 cm	0.297 cm	0.1 cm
919	0.094 cm	0.3 cm	0.1 cm
920	0.096 cm	0.3 cm	0.099 cm
921	0.095 cm	0.302 cm	0.1 cm
922	0.096 cm	0.302 cm	0.099 cm
923	0.095 cm	0.304 cm	0.099 cm
924	0.097 cm	0.304 cm	0.099 cm
925	0.095 cm	0.306 cm	0.099 cm
926	0.097 cm	0.306 cm	0.099 cm
927	0.096 cm	0.308 cm	0.099 cm
928	0.097 cm	0.308 cm	0.098 cm
929	0.096 cm	0.31 cm	0.098 cm
930	0.098 cm	0.31 cm	0.098 cm
931	0.097 cm	0.312 cm	0.098 cm
932	0.098 cm	0.311 cm	0.097 cm
933	0.098 cm	0.313 cm	0.097 cm
934	0.099 cm	0.313 cm	0.096 cm
935	0.098 cm	0.315 cm	0.096 cm
936	0.1 cm	0.314 cm	0.096 cm
937	0.099 cm	0.317 cm	0.095 cm
938	0.1 cm	0.316 cm	0.095 cm
939	0.1 cm	0.318 cm	0.095 cm
940	0.101 cm	0.318 cm	0.094 cm
941	0.097 cm	0.298 cm	0.098 cm
942	0.099 cm	0.298 cm	0.097 cm
943	0.099 cm	0.297 cm	0.097 cm
944	0.097 cm	0.297 cm	0.098 cm
945	0.098 cm	0.3 cm	0.098 cm
946	0.099 cm	0.3 cm	0.097 cm
947	0.098 cm	0.302 cm	0.098 cm
948	0.099 cm	0.302 cm	0.097 cm
949	0.098 cm	0.304 cm	0.098 cm
950	0.099 cm	0.304 cm	0.098 cm
951	0.098 cm	0.306 cm	0.098 cm
952	0.1 cm	0.305 cm	0.097 cm
953	0.099 cm	0.307 cm	0.098 cm
954	0.1 cm	0.307 cm	0.097 cm
955	0.099 cm	0.309 cm	0.097 cm
956	0.1 cm	0.309 cm	0.097 cm
957	0.1 cm	0.311 cm	0.097 cm
958	0.101 cm	0.31 cm	0.096 cm
959	0.1 cm	0.312 cm	0.096 cm
960	0.101 cm	0.311 cm	0.095 cm
961	0.101 cm	0.314 cm	0.095 cm
962	0.102 cm	0.313 cm	0.094 cm
963	0.101 cm	0.315 cm	0.094 cm
964	0.103 cm	0.314 cm	0.093 cm
965	0.102 cm	0.317 cm	0.093 cm
966	0.103 cm	0.315 cm	0.093 cm
967	0.1 cm	0.299 cm	0.096 cm
968	0.102 cm	0.299 cm	0.095 cm
969	0.102 cm	0.297 cm	0.095 cm
970	0.1 cm	0.297 cm	0.096 cm
971	0.1 cm	0.3 cm	0.096 cm
972	0.102 cm	0.3 cm	0.095 cm
973	0.1 cm	0.302 cm	0.097 cm
974	0.102 cm	0.302 cm	0.096 cm
975	0.101 cm	0.304 cm	0.097 cm
976	0.101 cm	0.305 cm	0.097 cm
977	0.101 cm	0.307 cm	0.096 cm
978	0.102 cm	0.308 cm	0.096 cm
979	0.103 cm	0.307 cm	0.095 cm
980	0.102 cm	0.309 cm	0.095 cm
981	0.103 cm	0.308 cm	0.094 cm
982	0.102 cm	0.31 cm	0.094 cm
983	0.103 cm	0.309 cm	0.094 cm
984	0.103 cm	0.312 cm	0.094 cm
985	0.104 cm	0.311 cm	0.093 cm
986	0.104 cm	0.313 cm	0.093 cm
987	0.105 cm	0.312 cm	0.092 cm
988	0.104 cm	0.314 cm	0.092 cm
989	0.105 cm	0.313 cm	0.091 cm
990	0.103 cm	0.299 cm	0.094 cm
991	0.104 cm	0.3 cm	0.093 cm
992	0.104 cm	0.298 cm	0.093 cm
993	0.103 cm	0.298 cm	0.094 cm
994	0.103 cm	0.301 cm	0.094 cm
995	0.104 cm	0.301 cm	0.093 cm
996	0.103 cm	0.302 cm	0.095 cm
997	0.104 cm	0.303 cm	0.094 cm
998	0.104 cm	0.303 cm	0.093 cm
999	0.105 cm	0.302 cm	0.093 cm
1000	0.104 cm	0.305 cm	0.094 cm
1001	0.105 cm	0.306 cm	0.093 cm
1002	0.105 cm	0.304 cm	0.092 cm
1003	0.103 cm	0.306 cm	0.094 cm
1004	0.104 cm	0.307 cm	0.094 cm
1005	0.104 cm	0.308 cm	0.093 cm
1006	0.105 cm	0.307 cm	0.092 cm
1007	0.105 cm	0.309 cm	0.092 cm
1008	0.106 cm	0.308 cm	0.091 cm
1009	0.105 cm	0.31 cm	0.091 cm
1010	0.106 cm	0.309 cm	0.091 cm
1011	0.106 cm	0.312 cm	0.091 cm
1012	0.107 cm	0.31 cm	0.09 cm
1013	0.105 cm	0.3 cm	0.092 cm
1014	0.106 cm	0.301 cm	0.091 cm
1015	0.107 cm	0.3 cm	0.09 cm
1016	0.105 cm	0.299 cm	0.092 cm
1017	0.106 cm	0.303 cm	0.092 cm
1018	0.107 cm	0.304 cm	0.091 cm
1019	0.107 cm	0.302 cm	0.09 cm
1020	0.106 cm	0.305 cm	0.092 cm
1021	0.107 cm	0.306 cm	0.091 cm
1022	0.107 cm	0.305 cm	0.09 cm
1023	0.107 cm	0.308 cm	0.09 cm
1024	0.108 cm	0.306 cm	0.089 cm
1025	0.108 cm	0.309 cm	0.089 cm
1026	0.108 cm	0.308 cm	0.088 cm
1027	0.108 cm	0.304 cm	0.089 cm
1028	0.109 cm	0.302 cm	0.088 cm
1029	0.108 cm	0.301 cm	0.089 cm
1030	0.063 cm	0.337 cm	0.113 cm
1031	0.063 cm	0.338 cm	0.114 cm
1032	0.064 cm	0.337 cm	0.114 cm
1033	0.061 cm	0.338 cm	0.112 cm
1034	0.061 cm	0.339 cm	0.113 cm
1035	0.061 cm	0.336 cm	0.112 cm
1036	0.059 cm	0.337 cm	0.111 cm
1037	0.059 cm	0.339 cm	0.112 cm
1038	0.059 cm	0.335 cm	0.111 cm
1039	0.057 cm	0.335 cm	0.11 cm
1040	0.057 cm	0.337 cm	0.111 cm
1041	0.057 cm	0.333 cm	0.11 cm
1042	0.075 cm	0.345 cm	0.116 cm
1043	0.075 cm	0.346 cm	0.116 cm
1044	0.077 cm	0.348 cm	0.116 cm
1045	0.078 cm	0.347 cm	0.115 cm
1046	0.078 cm	0.346 cm	0.115 cm
1047	0.076 cm	0.344 cm	0.115 cm
1048	0.074 cm	0.342 cm	0.116 cm
1049	0.074 cm	0.343 cm	0.116 cm
1050	0.073 cm	0.34 cm	0.116 cm
1051	0.072 cm	0.341 cm	0.117 cm
1052	0.072 cm	0.339 cm	0.117 cm
1053	0.071 cm	0.34 cm	0.118 cm
1054	0.07 cm	0.338 cm	0.117 cm
1055	0.07 cm	0.339 cm	0.118 cm
1056	0.071 cm	0.336 cm	0.117 cm
1057	0.069 cm	0.339 cm	0.118 cm
1058	0.067 cm	0.339 cm	0.118 cm
1059	0.067 cm	0.34 cm	0.119 cm
1060	0.068 cm	0.34 cm	0.119 cm
1061	0.07 cm	0.34 cm	0.119 cm
1062	0.068 cm	0.341 cm	0.12 cm
1063	0.07 cm	0.342 cm	0.12 cm
1064	0.071 cm	0.341 cm	0.119 cm
1065	0.071 cm	0.343 cm	0.119 cm
1066	0.069 cm	0.343 cm	0.121 cm
1067	0.07 cm	0.344 cm	0.12 cm
1068	0.072 cm	0.344 cm	0.119 cm
1069	0.072 cm	0.343 cm	0.118 cm
1070	0.071 cm	0.345 cm	0.119 cm
1071	0.07 cm	0.345 cm	0.121 cm
1072	0.071 cm	0.346 cm	0.12 cm
1073	0.072 cm	0.347 cm	0.118 cm
1074	0.073 cm	0.346 cm	0.118 cm
1075	0.072 cm	0.348 cm	0.119 cm
1076	0.071 cm	0.348 cm	0.121 cm
1077	0.072 cm	0.349 cm	0.12 cm
1078	0.074 cm	0.35 cm	0.119 cm
1079	0.074 cm	0.348 cm	0.118 cm
1080	0.074 cm	0.351 cm	0.119 cm
1081	0.072 cm	0.35 cm	0.121 cm
1082	0.074 cm	0.352 cm	0.12 cm
1083	0.076 cm	0.352 cm	0.119 cm
1084	0.076 cm	0.351 cm	0.118 cm
1085	0.075 cm	0.353 cm	0.12 cm
1086	0.073 cm	0.353 cm	0.121 cm
1087	0.075 cm	0.355 cm	0.12 cm
1088	0.073 cm	0.354 cm	0.121 cm
1089	0.072 cm	0.355 cm	0.122 cm
1090	0.073 cm	0.357 cm	0.121 cm
1091	0.074 cm	0.356 cm	0.121 cm
1092	0.074 cm	0.356 cm	0.12 cm
1093	0.073 cm	0.354 cm	0.121 cm
1094	0.072 cm	0.352 cm	0.122 cm
1095	0.072 cm	0.353 cm	0.122 cm
1096	0.072 cm	0.351 cm	0.121 cm
1097	0.071 cm	0.35 cm	0.122 cm
1098	0.071 cm	0.35 cm	0.123 cm
1099	0.071 cm	0.349 cm	0.121 cm
1100	0.07 cm	0.348 cm	0.122 cm
1101	0.07 cm	0.349 cm	0.123 cm
1102	0.07 cm	0.346 cm	0.122 cm
1103	0.069 cm	0.346 cm	0.122 cm
1104	0.069 cm	0.347 cm	0.123 cm
1105	0.069 cm	0.344 cm	0.122 cm
1106	0.068 cm	0.344 cm	0.122 cm
1107	0.068 cm	0.345 cm	0.122 cm
1108	0.068 cm	0.343 cm	0.121 cm
1109	0.067 cm	0.343 cm	0.121 cm
1110	0.067 cm	0.344 cm	0.122 cm
1111	0.067 cm	0.341 cm	0.12 cm
1112	0.066 cm	0.342 cm	0.119 cm
1113	0.066 cm	0.343 cm	0.12 cm
1114	0.066 cm	0.341 cm	0.118 cm
1115	0.065 cm	0.341 cm	0.117 cm
1116	0.065 cm	0.343 cm	0.118 cm
1117	0.066 cm	0.339 cm	0.117 cm
1118	0.065 cm	0.34 cm	0.116 cm
1119	0.065 cm	0.339 cm	0.115 cm
1120	0.063 cm	0.34 cm	0.115 cm
1121	0.063 cm	0.341 cm	0.116 cm
1122	0.061 cm	0.341 cm	0.114 cm
1123	0.062 cm	0.342 cm	0.115 cm
1124	0.06 cm	0.342 cm	0.113 cm
1125	0.06 cm	0.344 cm	0.114 cm
1126	0.059 cm	0.34 cm	0.112 cm
1127	0.058 cm	0.341 cm	0.112 cm
1128	0.058 cm	0.343 cm	0.113 cm
1129	0.058 cm	0.339 cm	0.111 cm
1130	0.071 cm	0.356 cm	0.122 cm
1131	0.071 cm	0.357 cm	0.122 cm
1132	0.071 cm	0.359 cm	0.121 cm
1133	0.072 cm	0.358 cm	0.121 cm
1134	0.072 cm	0.358 cm	0.121 cm
1135	0.072 cm	0.356 cm	0.122 cm
1136	0.071 cm	0.354 cm	0.123 cm
1137	0.071 cm	0.355 cm	0.123 cm
1138	0.071 cm	0.353 cm	0.122 cm
1139	0.071 cm	0.352 cm	0.123 cm
1140	0.07 cm	0.353 cm	0.124 cm
1141	0.071 cm	0.351 cm	0.123 cm
1142	0.07 cm	0.35 cm	0.124 cm
1143	0.07 cm	0.351 cm	0.124 cm
1144	0.07 cm	0.349 cm	0.123 cm
1145	0.069 cm	0.349 cm	0.124 cm
1146	0.069 cm	0.35 cm	0.124 cm
1147	0.069 cm	0.348 cm	0.123 cm
1148	0.068 cm	0.347 cm	0.124 cm
1149	0.068 cm	0.348 cm	0.124 cm
1150	0.068 cm	0.346 cm	0.123 cm
1151	0.067 cm	0.346 cm	0.123 cm
1152	0.067 cm	0.347 cm	0.123 cm
1153	0.067 cm	0.345 cm	0.122 cm
1154	0.066 cm	0.346 cm	0.122 cm
1155	0.066 cm	0.347 cm	0.122 cm
1156	0.066 cm	0.344 cm	0.121 cm
1157	0.065 cm	0.345 cm	0.12 cm
1158	0.065 cm	0.346 cm	0.121 cm
1159	0.065 cm	0.344 cm	0.119 cm
1160	0.064 cm	0.345 cm	0.118 cm
1161	0.064 cm	0.346 cm	0.119 cm
1162	0.064 cm	0.344 cm	0.117 cm
1163	0.062 cm	0.345 cm	0.116 cm
1164	0.062 cm	0.346 cm	0.117 cm
1165	0.063 cm	0.343 cm	0.116 cm
1166	0.062 cm	0.344 cm	0.116 cm
1167	0.06 cm	0.345 cm	0.115 cm
1168	0.06 cm	0.346 cm	0.116 cm
1169	0.058 cm	0.346 cm	0.115 cm
1170	0.059 cm	0.348 cm	0.115 cm
1171	0.058 cm	0.345 cm	0.114 cm
1172	0.059 cm	0.349 cm	0.116 cm
1173	0.061 cm	0.348 cm	0.116 cm
1174	0.059 cm	0.35 cm	0.117 cm
1175	0.061 cm	0.349 cm	0.117 cm
1176	0.063 cm	0.348 cm	0.118 cm
1177	0.061 cm	0.35 cm	0.118 cm
1178	0.063 cm	0.349 cm	0.119 cm
1179	0.064 cm	0.347 cm	0.12 cm
1180	0.063 cm	0.35 cm	0.119 cm
1181	0.064 cm	0.348 cm	0.12 cm
1182	0.065 cm	0.347 cm	0.121 cm
1183	0.064 cm	0.349 cm	0.121 cm
1184	0.065 cm	0.348 cm	0.122 cm
1185	0.066 cm	0.348 cm	0.123 cm
1186	0.065 cm	0.349 cm	0.123 cm
1187	0.066 cm	0.349 cm	0.123 cm
1188	0.067 cm	0.348 cm	0.124 cm
1189	0.066 cm	0.349 cm	0.124 cm
1190	0.067 cm	0.349 cm	0.124 cm
1191	0.068 cm	0.349 cm	0.124 cm
1192	0.067 cm	0.35 cm	0.125 cm
1193	0.068 cm	0.35 cm	0.125 cm
1194	0.069 cm	0.35 cm	0.125 cm
1195	0.068 cm	0.351 cm	0.125 cm
1196	0.069 cm	0.351 cm	0.125 cm
1197	0.069 cm	0.351 cm	0.124 cm
1198	0.068 cm	0.351 cm	0.125 cm
1199	0.069 cm	0.352 cm	0.125 cm
1200	0.07 cm	0.353 cm	0.124 cm
1201	0.07 cm	0.355 cm	0.123 cm
1202	0.07 cm	0.355 cm	0.123 cm
1203	0.07 cm	0.357 cm	0.122 cm
1204	0.069 cm	0.356 cm	0.123 cm
1205	0.069 cm	0.357 cm	0.122 cm
1206	0.07 cm	0.359 cm	0.121 cm
1207	0.069 cm	0.359 cm	0.121 cm
1208	0.068 cm	0.357 cm	0.122 cm
1209	0.068 cm	0.359 cm	0.121 cm
1210	0.068 cm	0.356 cm	0.123 cm
1211	0.068 cm	0.356 cm	0.122 cm
1212	0.068 cm	0.357 cm	0.122 cm
1213	0.068 cm	0.359 cm	0.121 cm
1214	0.067 cm	0.357 cm	0.122 cm
1215	0.067 cm	0.359 cm	0.121 cm
1216	0.067 cm	0.356 cm	0.122 cm
1217	0.066 cm	0.355 cm	0.122 cm
1218	0.066 cm	0.357 cm	0.121 cm
1219	0.066 cm	0.359 cm	0.121 cm
